Ticker,Avg RSI,Avg ATR,Avg ADX,Avg MACD,Avg Stochastic_K,Avg Stochastic_D,Volatility,P/E Ratio,P/B Ratio,ROE,ROA,Earnings Growth,Revenue Growth,Debt-to-Equity,Sharpe Ratio,Sortino Ratio,Final Score,Risk Profile
TITAN.NS,54.32277436618246,26.340378285135195,26.204995254026127,4.004851432843842,-27.467822042318826,-27.49401569019442,0.0255386631907027,96.55389,32.226543,0.29215,0.0801,-0.231,0.16,222.35,0.0552824848202474,0.0831215632130793,8.077664906166785,Risk-Neutral
SIEMENS.NS,52.68285845064744,71.50932563508356,26.694272518232843,4.3023404785014625,-58.824493028065376,-58.89131703252644,0.0230514065348824,70.38748,13.773337,,,0.269,0.068,1.311,0.034166722266018,0.0502329512048709,7.962849766699538,Risk-Neutral
DIVISLAB.NS,53.4338218846847,80.36097950556828,25.507908097501417,5.160488214808795,-97.7747140560696,-97.79244660443275,0.0223590922183164,87.85425,11.88555,0.13912,0.09119,0.465,0.225,0.058,0.0434598457480841,0.0615367857581147,7.919378899461777,Risk-Neutral
SBIN.NS,51.95772092412602,26.102272113983823,26.905255091252354,0.842936108609819,-125.6271700277055,-125.67434893476752,0.0232423866696054,9.7067995,1.4994816,0.16746001,0.01121,0.229,0.05,,0.0273204334930566,0.0423067363752042,7.911415173335874,Risk-Neutral
LT.NS,52.55974631349275,121.9502203092219,26.241343477323667,3.089511946048936,-202.8940146779504,-202.96655148520824,0.0270506824771563,33.787388,5.4487367,0.16102,0.045679998,0.077,0.201,119.062,0.031881859988571,0.0495256648851982,7.904845721298924,Risk-Neutral
KOTAKBANK.NS,53.50657637123867,19.194950489153097,24.912673879542556,2.9089559757127517,40.602858680844605,40.596857342016925,0.0247174944565328,17.02728,2.911639,0.16479999,0.0298,0.13,0.211,,0.0423122145137278,0.0605401220550205,7.866895086097467,Risk-Neutral
MARUTI.NS,52.8277140576509,275.38642536658864,25.540753438111174,12.812273463849085,-101.7746601160956,-101.80632840355534,0.0205749151518027,28.227404,4.796993,0.18101,0.086339995,-0.208,0.01,0.178,0.0335834209562907,0.049473722132658,7.862231068526024,Risk-Neutral
M&M.NS,52.40553417299436,47.33838983303853,25.302389985803213,1.8582484887766029,-118.01620127501128,-118.0567979355892,0.0282351986287419,31.334356,5.0093646,0.17017001,0.06309,0.349,0.102,145.663,0.0306483060799449,0.0477395209980172,7.79541070648188,Risk-Neutral
ULTRACEMCO.NS,52.82689214368526,123.87777062226635,24.676075285436216,10.415587024231634,-19.040649036102852,-19.058556814069252,0.0204674210613871,52.833855,5.4596753,0.11017,0.05631,-0.36,-0.024,27.025,0.0346281924735123,0.0525691819667201,7.775691811271006,Risk-Neutral
WIPRO.NS,51.62390747916234,14.454725026730292,25.482957915681585,0.5177288470979623,-75.64967900611707,-75.69656614131885,0.0200392042842015,26.548223,2.1840506,0.15557,0.076469995,0.214,-0.01,23.511,0.0193408417141107,0.0278232964503163,7.73612442952097,Risk-Neutral
ICICIBANK.NS,52.54600322783525,26.104746438254203,23.765120572394466,1.3249508149183606,-112.1375984849618,-112.19414904866272,0.0251387778189555,18.446466,3.4717727,0.18731001,0.02158,0.182,0.274,,0.0299252228910315,0.0442704684286089,7.656040312706073,Risk-Neutral
TCS.NS,53.06661157502503,149.15594344916897,23.126259749754624,4.756857356919167,-263.02373985725905,-263.0794175053159,0.0254604884844111,30.272444,16.327139,0.46772,0.24511999,0.062,0.077,8.836,0.0324231086861233,0.0489015969410794,7.644182894094521,Risk-Neutral
AMBUJACEM.NS,52.29359372520351,29.052356002904443,23.644428692780373,0.8053989386175413,-210.9984103002296,-211.04817606786165,0.0214906133461697,28.658262,2.7119083,0.077259995,0.03824,-0.505,0.012,1.301,0.0292375373690457,0.044248101373168,7.619094990928769,Risk-Neutral
BHARTIARTL.NS,51.71350427808659,22.42682300406304,22.85136560248454,1.1501185638614917,-23.391473850581978,-23.40749863560084,0.0223221475574317,79.5569,10.913989,0.12929,0.0544,1.597,0.12,204.474,0.023631388499646,0.0373568548385111,7.481696583766367,Risk-Neutral
ONGC.NS,50.752022634471615,65.45317803393918,23.658930493022343,0.1415687949575897,-578.5706248832629,-578.7552383405651,0.0237555015761056,8.253789,0.955269,0.12048,0.0482,-0.252,0.078,50.462,0.0146432985983029,0.0209493297285601,7.466161573056782,Risk-Neutral
