,SIEMENS.NS,SUNPHARMA.NS,DRREDDY.NS,GRASIM.NS,GAIL.NS,ONGC.NS,ULTRACEMCO.NS,HDFCBANK.NS,RELIANCE.NS,INDUSINDBK.NS,WIPRO.NS,VEDL.NS,EICHERMOT.NS,AMBUJACEM.NS,ICICIBANK.NS,INFY.NS,ASIANPAINT.NS,LT.NS,BRITANNIA.NS,BHARTIARTL.NS,HINDUNILVR.NS,MARUTI.NS,HEROMOTOCO.NS,TITAN.NS,SBIN.NS,TCS.NS,NESTLEIND.NS,M&M.NS,TATASTEEL.NS,JSWSTEEL.NS,DIVISLAB.NS,BOSCHLTD.NS,NTPC.NS,BPCL.NS,ITC.NS,IOC.NS,KOTAKBANK.NS
SIEMENS.NS,1.0,0.21773507279458637,0.06492672753274599,0.09685616419454686,0.09845927774093484,0.3312403027854835,0.37197015077751217,0.4034020913147942,0.1540536843287283,0.39349266765896834,0.3066192116871396,0.35738861470861955,0.05431026633310881,0.3696193529081976,0.44892340306885414,0.2596136533442736,0.26269357681168654,0.4218880216194717,0.23120683919777246,0.3170604546614526,0.27562623401093367,0.39385936865668353,0.27404934314209756,0.3282954415278522,0.4592961366324659,0.2005034576708285,0.103443491240006,0.3106777314471214,0.38738658508780305,0.43056267195217646,0.3298064502083912,0.28341028433501897,0.3558865737775051,0.08693233767552436,0.2960795128612131,0.08399346124844756,0.4216776185821653
SUNPHARMA.NS,0.21773507279458637,1.0,0.08716973151565938,0.06630594242505414,0.058516270884040045,0.19327280180731907,0.22483542181056135,0.24435857714409956,0.08988130002683281,0.19987191510328242,0.2461962150688586,0.20448882164567114,0.026660841640136785,0.2188252856465746,0.24087786619980991,0.21140799467646168,0.17488443485555574,0.19150627357306826,0.14820742054461009,0.23307133078015868,0.20742443743149935,0.1933599263101418,0.2166530940621107,0.17797501399254717,0.2126262955673183,0.161076856394542,0.09708394089645053,0.19482593128297218,0.2125059929033103,0.2165689047969585,0.26201244714755484,0.1656562362594919,0.230316425506391,0.04525965686434035,0.24246985670336899,0.041395542812750756,0.2120638674938638
DRREDDY.NS,0.06492672753274599,0.08716973151565938,1.0,0.9459200031498541,0.9260135911257893,0.3901515621572409,0.0652670849824651,0.0670070450663137,0.915296382585069,0.0516098584943968,0.07308240852699255,0.056059599419486766,0.9447850248664651,0.06041928243561416,0.13268968757588961,0.06511274228220527,0.048388621303615986,0.04834556217182382,0.047442197485731016,0.13088226541004128,0.06766443817196752,0.05763346370541521,0.050914732355524774,0.056025955374741816,0.054952395840107006,0.6598576481482445,0.03057230747836775,0.6075072164386864,0.06246220401723206,0.0649483624262293,0.09407133871417797,0.05072333281386271,0.061986874383731454,0.9262850739716607,0.0807580180591571,0.9328766213565391,0.03775398467535221
GRASIM.NS,0.09685616419454686,0.06630594242505414,0.9459200031498541,1.0,0.9493106459323788,0.41404096451672073,0.13143222990224973,0.09883719517235112,0.9349587703220748,0.07964596595835309,0.07281838387588463,0.0833005819510355,0.966253537632358,0.12279879962710442,0.16482694959450422,0.05828107260074853,0.06667973856347238,0.08379869873395597,0.04924451818828246,0.16068305032993133,0.06777578687374393,0.09908216238724186,0.07287328353529658,0.07533692592909506,0.101790722814144,0.6595302006871328,0.028864842498164386,0.634444525585504,0.09234319500870865,0.09732695100625037,0.07608059871321232,0.0684771731933931,0.08857905721463073,0.9497984452215622,0.09815267585234061,0.9543559279854489,0.06658043662853395
GAIL.NS,0.09845927774093484,0.058516270884040045,0.9260135911257893,0.9493106459323788,1.0,0.46635977961837527,0.09697534870897559,0.09684738329524056,0.9280118949675934,0.08039294790632454,0.07864359971056298,0.10053922149203302,0.944877625739725,0.09850568628208127,0.17393862073454006,0.06424735825517634,0.05589189092988183,0.08738001952923823,0.044626675405465124,0.16213237358005309,0.06403858544572893,0.09411080460903241,0.0742062937092356,0.08797388273580563,0.11305626075849423,0.6605996190674768,0.021605523502390398,0.6314102927761017,0.10405517574812535,0.10727040834704442,0.08234898816728566,0.06897982622570317,0.12144476352888013,0.9409391256163745,0.11128307370839814,0.9459163913839297,0.07108201181086016
ONGC.NS,0.3312403027854835,0.19327280180731907,0.3901515621572409,0.41404096451672073,0.46635977961837527,1.0,0.2916365982407457,0.3341111901173818,0.4825871748773612,0.287182256889539,0.2730207988832077,0.32864765059799367,0.3693743401355955,0.27261797348435723,0.4044903235847681,0.2162846377053687,0.16636466548980833,0.3003347881053935,0.13502084785968457,0.3153282037965489,0.21418336991245626,0.29613970093096786,0.22797099214826294,0.25723462137452807,0.37569578947085763,0.43408987820613926,0.08407191947323296,0.4885058799994212,0.330767812724747,0.3377494104434904,0.23606840921246172,0.20933547263337524,0.38821495439114245,0.4287674348399982,0.287280705062119,0.43522163367816596,0.3032647944140261
ULTRACEMCO.NS,0.37197015077751217,0.22483542181056135,0.0652670849824651,0.13143222990224973,0.09697534870897559,0.2916365982407457,1.0,0.37861913443093137,0.14584697362258228,0.34335749319626063,0.26951683341843646,0.31417388897729104,0.05282739668150131,0.5320841334274926,0.39615622328832256,0.23528125250854526,0.3032696875420495,0.33770564270524095,0.22423039383081017,0.2932555352823953,0.2762671227160439,0.3791269647193591,0.3082723838275722,0.28365500492107765,0.39098598658371664,0.20236543296251558,0.1372739459997049,0.31545166300319033,0.338400837230573,0.38011627495137057,0.2844611023341848,0.258621340498981,0.3297493730390484,0.08537641343581528,0.29350008144228856,0.07960952527991441,0.3605939432736949
HDFCBANK.NS,0.4034020913147942,0.24435857714409956,0.0670070450663137,0.09883719517235112,0.09684738329524056,0.3341111901173818,0.37861913443093137,1.0,0.17733964378658232,0.465455986326905,0.34686113636352006,0.3259316245622063,0.052446318181864994,0.3492869306064096,0.6116631499434539,0.3369170298504012,0.26672430136484865,0.4271721420970441,0.19197964181834737,0.3572313114555761,0.28412070512707716,0.40068917284611477,0.327880303441353,0.3309850387565849,0.5115162780357833,0.26104000944598,0.11151935019820812,0.34796667319801544,0.3600194653378061,0.40221652416396697,0.27807125792995924,0.25915133381880523,0.36728750389184533,0.08319473859424978,0.35211500616986885,0.07637533203517281,0.5452442255943304
RELIANCE.NS,0.1540536843287283,0.08988130002683281,0.915296382585069,0.9349587703220748,0.9280118949675934,0.4825871748773612,0.14584697362258228,0.17733964378658232,1.0,0.12992291951237211,0.13743516082112894,0.14493484418920366,0.9257319500911801,0.15427982976831253,0.25181330115658257,0.1247039631216346,0.09900574472189035,0.1420336021520773,0.08292325594560869,0.21891598473184273,0.10557789345975563,0.14664475946037916,0.11234536257873337,0.1315236274986415,0.16701658903760483,0.7011962094121625,0.04979246853815552,0.6682924287948439,0.16126202756852126,0.16633409523430429,0.1237283440930696,0.09040792562064451,0.14800572074760765,0.9213706623502764,0.1415312795442494,0.924375724355143,0.14731649996548787
INDUSINDBK.NS,0.39349266765896834,0.19987191510328242,0.0516098584943968,0.07964596595835309,0.08039294790632454,0.287182256889539,0.34335749319626063,0.465455986326905,0.12992291951237211,1.0,0.2650268349260626,0.32243305860234667,0.04446472207095959,0.3405463375757746,0.494686156389941,0.24481949894212315,0.2541959808835983,0.4005505510746804,0.23070131359676346,0.29442335577958,0.2646124722573968,0.37192281040622915,0.28258480213338155,0.3645943745970382,0.4879859482275525,0.18450854983864048,0.11072478850457997,0.31093612895077,0.35298509188611826,0.39298388507057364,0.3179303121218676,0.25581416701076165,0.36572827536840213,0.07009559499491663,0.2849784085323824,0.07126740414416177,0.4781563980432771
