Ticker,Avg RSI,Avg ATR,Avg ADX,Avg MACD,Avg Stochastic_K,Avg Stochastic_D,Volatility,P/E Ratio,P/B Ratio,ROE,ROA,Earnings Growth,Revenue Growth,Debt-to-Equity,Sharpe Ratio,Sortino Ratio,Final Score
TITAN.NS,54.32277436618246,26.340378285135195,26.204995254026127,4.004851432843842,-27.467822042318822,-27.49401569019442,0.02553866319070275,96.55389,32.226543,0.29215,0.0801,-0.231,0.16,222.35,0.0552824848202474,0.0831215632130793,8.077664906166785
EICHERMOT.NS,53.575325323506746,121.67764143170696,27.00501640764583,5.139906350975199,-137.65656726142254,-137.70536922785863,0.1379799114130802,35.316463,7.920051,0.24452,0.13003,0.081,0.122,2.128,0.0223434249507703,0.1256099589682513,8.071677992438946
ASIANPAINT.NS,54.69843357856274,53.77987688925851,25.657375503367405,4.798855288103299,-113.93929385332278,-113.98713232331514,0.017337636625478017,48.83582,12.364978,0.25827,0.12689,-0.424,-0.056,13.467,0.0592631062308754,0.0862569340916823,8.061288954995463
BOSCHLTD.NS,52.12746019818821,1187.0638194820958,27.758008633966753,23.108094577747565,-163.46782844895176,-163.49801546131016,0.018544951921258195,41.650814,6.995826,0.17151,0.06621,-0.463,0.064,0.247,0.0266784530874844,0.0427380533215239,8.014134198488367
BRITANNIA.NS,53.60662500857374,130.85873438835165,26.164453825262203,6.478598982318319,-201.77877048802085,-201.8353366634737,0.01698204659629362,56.39678,37.556374,0.69676,0.19472,-0.096,0.053,85.079,0.0507710599646879,0.0813411849988204,8.002851489188963
HINDUNILVR.NS,53.05388603469018,100.87595835144818,26.540882828572407,3.8753277261198353,-274.4819943179105,-274.5965634398006,0.017293411869032358,53.17386,11.140343,0.20233999,0.10564999,-0.024,0.019,3.238,0.0394832561067223,0.0636712553406761,7.985189355604354
GRASIM.NS,52.1919208837737,43.97279571600115,27.280970382784467,2.472775175927999,-76.17261827529438,-76.22729648977558,0.08564419593370205,36.52126,1.8932374,,,-0.244,0.09,100.1,0.0183762788752321,0.0689440013086338,7.966166517527443
SIEMENS.NS,52.682858450647444,71.50932563508356,26.694272518232843,4.3023404785014625,-58.824493028065376,-58.89131703252644,0.023051406534882492,70.38748,13.773337,,,0.269,0.068,1.311,0.034166722266018,0.0502329512048709,7.962849766699538
JSWSTEEL.NS,52.40066717889893,19.23965602482306,26.736807648277225,1.0959097490497987,-113.99541090271924,-114.0385146245334,0.029304843802530234,69.75574,2.9563358,0.06418,0.04442,-0.841,-0.11,116.515,0.0325898525045703,0.0483737369847458,7.938258808802359
DIVISLAB.NS,53.4338218846847,80.36097950556828,25.507908097501417,5.160488214808795,-97.7747140560696,-97.79244660443275,0.022359092218316456,87.85425,11.88555,0.13912,0.09119,0.465,0.225,0.058,0.0434598457480841,0.0615367857581147,7.919378899461777
SBIN.NS,51.95772092412602,26.102272113983823,26.905255091252354,0.842936108609819,-125.6271700277055,-125.67434893476752,0.02324238666960542,9.7067995,1.4994816,0.16746001,0.01121,0.229,0.05,,0.0273204334930566,0.0423067363752042,7.911415173335874
INDUSINDBK.NS,52.73296709211204,41.87071775972983,26.117039822397,1.7575687319592517,-43.26574123238841,-43.280726106944286,0.030131612893012253,11.179757,1.2812414,0.13139,0.01596,-0.397,-0.105,,0.0316133130146375,0.0459052271578438,7.9094293406266
LT.NS,52.55974631349275,121.9502203092219,26.241343477323667,3.089511946048936,-202.89401467795042,-202.96655148520824,0.027050682477156338,33.787388,5.4487367,0.16102,0.045679998,0.077,0.201,119.062,0.031881859988571,0.0495256648851982,7.904845721298924
KOTAKBANK.NS,53.50657637123867,19.194950489153094,24.912673879542556,2.9089559757127517,40.602858680844605,40.596857342016925,0.02471749445653288,17.02728,2.911639,0.16479999,0.0298,0.13,0.211,,0.0423122145137278,0.0605401220550205,7.866895086097467
MARUTI.NS,52.8277140576509,275.38642536658864,25.540753438111178,12.812273463849085,-101.77466011609559,-101.80632840355534,0.02057491515180279,28.227404,4.796993,0.18101,0.086339995,-0.208,0.01,0.178,0.0335834209562907,0.049473722132658,7.862231068526024
