Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Daily Return,SMA_50,SMA_200,RSI,MACD,MACD_Signal,Upper_Band,Middle_Band,Lower_Band,ATR,ADX,Stochastic_%K,Stochastic_%D,Williams_%R,OBV,Support_Level,Resistance_Level
2005-01-03,43.16666412353515,44.11666488647461,42.83333206176758,43.0625,18.042814254760746,6649764,IOC.NS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6649764.0,0.0,0.0
2005-01-04,43.08333206176758,43.83333206176758,43.08333206176758,43.53333282470703,18.240089416503903,6488232,IOC.NS,0.01093372458185704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13137996.0,0.0,0.0
2005-01-05,43.75,43.75,40.84166717529297,41.99583435058594,17.59589385986328,3346896,IOC.NS,-0.03531756571641276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9791100.0,0.0,0.0
2005-01-06,42.08333206176758,42.24583435058594,40.89166641235352,41.883331298828125,17.548749923706055,5798196,IOC.NS,-0.0026792578162092573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3992904.0,0.0,0.0
2005-01-07,41.5,41.83333206176758,41.125,41.41666412353515,17.353229522705078,3811332,IOC.NS,-0.011141557196439056,0.0,0.0,0.0,0.0,0.0,18.41791999823606,17.75615539550781,17.094390792779564,0.0,0.0,0.0,0.0,0.0,181572.0,0.0,0.0
2005-01-10,42.41666412353515,42.41666412353515,40.59166717529297,40.75,17.07390022277832,2053332,IOC.NS,-0.01609667523623093,0.0,0.0,0.0,0.0,0.0,18.333322873180865,17.562372589111327,16.791422305041788,0.0,0.0,0.0,0.0,0.0,-1871760.0,0.0,0.0
2005-01-11,40.91666412353515,41.03333282470703,40.17499923706055,40.48749923706055,16.963909149169922,1758036,IOC.NS,-0.006442059059338923,0.0,0.0,0.0,0.0,0.0,17.809997630979826,17.30713653564453,16.804275440309237,0.0,0.0,0.0,0.0,0.0,-3629796.0,0.0,0.0
2005-01-12,40.41666412353515,40.66666412353515,38.59583282470703,39.05833435058594,16.36510467529297,1508028,IOC.NS,-0.03529873147818963,0.0,0.0,0.0,0.0,0.0,17.869513883745284,17.06097869873047,16.252443513715654,0.0,0.0,0.0,0.0,0.0,-5137824.0,0.0,0.0
2005-01-13,39.16666412353515,39.57500076293945,38.33333206176758,38.48333358764648,16.124187469482422,4749480,IOC.NS,-0.014721397179589646,0.0,0.0,0.0,0.0,0.0,17.692992740970713,16.77606620788574,15.859139674800769,0.0,0.0,-591.6627761912797,-647.057035544823,0.0,-9887304.0,0.0,0.0
2005-01-14,38.75,38.75,37.508331298828125,37.650001525878906,15.775026321411133,4296924,IOC.NS,-0.021654495690535236,0.0,0.0,0.0,0.0,0.0,17.44906549288545,16.460425567626952,15.471785642368456,0.0,0.0,-522.8370181373715,-588.8971483836823,0.0,-14184228.0,0.0,0.0
